id_acao,empresa_id,data_ajuizamento,tipo_contratacao,causa_principal,valor_acao,houve_acordo,resultado_final,tempo_empresa_colaborador,afastamento_previo
286,38,2023-12-02,Estágio,Horas Extras,23045.27,Sim,Procedente,7.9,Não
287,84,2025-09-20,Terceirizado,Acidente de Trabalho,43930.62,Não,Parcialmente procedente,8.9,Sim
288,4,2024-03-05,Estágio,Horas Extras,39592.07,Não,Improcedente,12.5,Sim
289,65,2023-07-08,Estágio,FGTS,41203.46,Sim,Procedente,5.4,Não
290,57,2025-07-13,Estágio,Assédio Moral,35469.66,Não,Improcedente,1.7,Não
291,19,2024-09-24,CLT,Assédio Moral,51433.85,Não,Procedente,2.7,Não
292,84,2026-03-03,Estágio,Horas Extras,61715.48,Não,Improcedente,11.3,Sim
293,84,2025-11-17,Estágio,Horas Extras,40735.09,Sim,Procedente,14.1,Não
294,74,2025-02-23,CLT,Assédio Moral,9554.41,Sim,Improcedente,3.6,Não
295,42,2025-03-31,Terceirizado,FGTS,24867.59,Sim,Improcedente,7.0,Sim
296,33,2025-03-30,Terceirizado,Acidente de Trabalho,36100.36,Não,Improcedente,14.1,Não
297,75,2025-03-18,PJ,Vínculo Empregatício,18932.83,Sim,Procedente,9.4,Sim
298,12,2025-05-30,Terceirizado,Verbas Rescisórias,49294.2,Sim,Arquivada (acordo),3.8,Não
299,72,2025-01-13,Estágio,Vínculo Empregatício,26466.83,Sim,Arquivada (acordo),13.6,Não
300,91,2026-01-28,Estágio,Assédio Moral,16676.96,Sim,Arquivada (acordo),2.2,Sim
301,58,2024-06-28,PJ,Verbas Rescisórias,65530.34,Sim,Arquivada (acordo),7.5,Não
302,5,2023-10-30,PJ,Acidente de Trabalho,6046.87,Não,Improcedente,7.8,Sim
303,39,2025-07-09,Estágio,Vínculo Empregatício,40589.47,Sim,Procedente,12.5,Não
304,97,2026-01-19,Terceirizado,Assédio Sexual,62133.35,Sim,Arquivada (acordo),9.4,Não
305,73,2025-02-18,CLT,Assédio Moral,14742.24,Sim,Improcedente,4.8,Sim
306,82,2024-06-01,Terceirizado,Vínculo Empregatício,35776.21,Sim,Parcialmente procedente,8.3,Sim
307,12,2024-02-07,Estágio,Equiparação Salarial,37693.62,Sim,Parcialmente procedente,1.3,Sim
308,4,2026-02-01,Terceirizado,Horas Extras,62336.39,Não,Arquivada (acordo),3.7,Não
309,83,2024-11-12,CLT,Assédio Moral,17836.89,Sim,Procedente,13.1,Não
310,15,2025-10-03,CLT,Vínculo Empregatício,11682.0,Sim,Parcialmente procedente,4.2,Não
311,98,2025-02-20,Terceirizado,Assédio Sexual,20344.12,Sim,Arquivada (acordo),7.4,Não
312,40,2026-04-01,CLT,FGTS,39845.63,Sim,Arquivada (acordo),5.4,Sim
313,71,2023-08-12,CLT,Assédio Moral,6230.29,Não,Procedente,13.6,Não
314,37,2025-05-05,CLT,Horas Extras,30386.76,Sim,Parcialmente procedente,7.5,Sim
315,68,2025-11-28,Estágio,Acidente de Trabalho,57605.43,Não,Arquivada (acordo),12.7,Não
316,88,2025-11-10,Estágio,Assédio Sexual,12779.61,Sim,Arquivada (acordo),7.2,Não
317,30,2024-06-25,CLT,Assédio Sexual,42667.11,Sim,Parcialmente procedente,6.3,Não
318,8,2024-07-14,PJ,Vínculo Empregatício,54655.88,Sim,Procedente,10.0,Não
319,34,2026-04-22,CLT,FGTS,55491.48,Sim,Arquivada (acordo),13.8,Sim
320,84,2023-06-25,CLT,Acidente de Trabalho,11088.63,Sim,Procedente,7.8,Não
321,78,2024-03-12,PJ,Assédio Moral,38498.65,Sim,Arquivada (acordo),3.2,Sim
322,17,2026-04-30,PJ,Assédio Moral,59989.78,Não,Procedente,10.8,Não
323,60,2024-06-24,Terceirizado,Assédio Moral,16635.79,Não,Procedente,4.7,Não
324,69,2025-05-31,Estágio,Assédio Moral,75169.38,Não,Arquivada (acordo),11.8,Sim
325,74,2024-05-11,Terceirizado,Assédio Moral,68780.01,Sim,Improcedente,3.8,Não
326,71,2024-12-10,CLT,Assédio Moral,79382.5,Sim,Parcialmente procedente,3.8,Não
327,24,2024-07-06,Estágio,Acidente de Trabalho,50395.58,Não,Improcedente,13.7,Não
328,20,2024-04-03,PJ,Acidente de Trabalho,23259.95,Não,Procedente,14.3,Sim
329,9,2026-01-30,CLT,Vínculo Empregatício,62823.53,Sim,Parcialmente procedente,9.7,Sim
330,63,2024-06-11,Terceirizado,Vínculo Empregatício,73584.28,Sim,Improcedente,11.1,Sim
331,69,2024-07-22,PJ,Horas Extras,8459.42,Sim,Arquivada (acordo),11.0,Não
332,85,2025-01-26,PJ,Verbas Rescisórias,21174.67,Sim,Procedente,10.9,Sim
333,26,2025-02-27,PJ,FGTS,34196.26,Sim,Procedente,5.7,Não
334,42,2025-06-11,CLT,Assédio Moral,9493.58,Sim,Improcedente,9.7,Não
335,79,2023-06-28,Estágio,Equiparação Salarial,65439.0,Sim,Parcialmente procedente,5.4,Não
336,79,2024-08-29,CLT,Horas Extras,13839.33,Sim,Arquivada (acordo),8.4,Sim
337,5,2025-09-24,CLT,Assédio Moral,42712.42,Sim,Procedente,11.4,Sim
338,56,2026-04-23,Estágio,Assédio Moral,26755.34,Não,Procedente,14.0,Não
339,65,2023-06-12,Terceirizado,Vínculo Empregatício,10246.95,Sim,Improcedente,9.6,Sim
340,26,2024-03-27,Estágio,Assédio Moral,79362.87,Sim,Procedente,13.8,Não
341,2,2025-04-15,Estágio,Assédio Moral,35383.39,Sim,Parcialmente procedente,3.9,Sim
342,32,2024-03-31,Terceirizado,Verbas Rescisórias,12434.38,Sim,Improcedente,2.2,Sim
343,35,2026-05-28,Estágio,Vínculo Empregatício,62941.87,Sim,Procedente,14.4,Não
344,38,2023-12-22,PJ,Horas Extras,48187.72,Sim,Improcedente,13.1,Não
345,30,2025-12-10,Terceirizado,FGTS,29372.3,Não,Improcedente,2.1,Não
346,69,2026-03-10,Terceirizado,Verbas Rescisórias,79343.24,Sim,Improcedente,14.7,Sim
347,90,2024-01-05,PJ,Vínculo Empregatício,67827.25,Sim,Procedente,6.1,Sim
348,7,2025-09-06,PJ,Acidente de Trabalho,45368.32,Não,Improcedente,2.1,Sim
349,41,2024-06-03,Terceirizado,FGTS,31454.5,Sim,Improcedente,12.6,Não
350,15,2024-08-28,PJ,FGTS,41637.84,Não,Procedente,10.9,Não
351,68,2023-11-16,PJ,Equiparação Salarial,64254.73,Sim,Arquivada (acordo),3.9,Não
352,73,2024-03-14,CLT,Assédio Moral,33652.64,Sim,Procedente,12.4,Sim
353,78,2024-11-22,Estágio,Assédio Moral,74210.51,Sim,Improcedente,14.1,Não
354,62,2025-11-26,Estágio,Assédio Moral,8778.56,Sim,Arquivada (acordo),9.7,Não
355,21,2025-08-19,CLT,Equiparação Salarial,31615.22,Sim,Improcedente,2.7,Não
356,61,2023-10-23,CLT,Acidente de Trabalho,46888.12,Sim,Procedente,2.5,Não
357,22,2024-09-25,Estágio,Assédio Moral,48674.85,Sim,Procedente,3.5,Sim
358,70,2024-06-27,Estágio,FGTS,42021.02,Não,Procedente,4.3,Não
359,40,2024-07-16,PJ,Horas Extras,6860.0,Sim,Improcedente,9.2,Não
360,77,2025-04-20,PJ,Assédio Moral,78848.73,Não,Parcialmente procedente,13.3,Sim
361,83,2024-02-14,PJ,Assédio Moral,51629.22,Sim,Parcialmente procedente,8.0,Sim
362,40,2025-07-11,CLT,Acidente de Trabalho,12823.7,Sim,Procedente,7.8,Não
363,81,2025-10-17,CLT,Equiparação Salarial,27393.03,Não,Parcialmente procedente,11.0,Sim
364,13,2024-08-21,Terceirizado,Equiparação Salarial,74518.69,Não,Procedente,3.2,Não
365,29,2024-01-13,Estágio,Horas Extras,57949.49,Sim,Improcedente,9.8,Não
366,8,2023-09-05,PJ,Assédio Moral,45072.51,Sim,Arquivada (acordo),12.6,Sim
367,99,2024-07-08,CLT,FGTS,13629.19,Não,Improcedente,9.4,Sim
368,62,2024-07-01,PJ,Acidente de Trabalho,34183.04,Não,Improcedente,2.3,Sim
369,84,2023-06-18,CLT,Acidente de Trabalho,15620.71,Sim,Improcedente,6.7,Sim
370,67,2023-08-21,Estágio,Acidente de Trabalho,39800.57,Sim,Improcedente,14.1,Não
371,78,2026-01-19,Terceirizado,Assédio Sexual,64852.86,Sim,Procedente,14.1,Sim
372,96,2025-01-17,PJ,Assédio Moral,49256.59,Não,Arquivada (acordo),7.4,Sim
373,80,2026-02-21,CLT,Assédio Moral,76279.86,Não,Parcialmente procedente,0.5,Sim
374,37,2024-06-24,CLT,Horas Extras,53493.05,Sim,Arquivada (acordo),3.1,Sim
375,89,2023-07-19,PJ,Assédio Moral,40793.51,Sim,Arquivada (acordo),10.0,Não
376,55,2025-06-16,PJ,Assédio Moral,40854.99,Sim,Procedente,2.4,Não
377,85,2026-02-25,Terceirizado,Assédio Moral,13615.1,Sim,Procedente,11.8,Não
378,8,2025-02-11,CLT,Vínculo Empregatício,18226.93,Não,Improcedente,6.9,Sim
379,22,2024-03-09,CLT,Assédio Sexual,60680.73,Sim,Improcedente,2.7,Não
380,37,2026-04-25,PJ,Equiparação Salarial,74409.56,Não,Improcedente,8.9,Não
381,38,2024-11-05,CLT,Acidente de Trabalho,66647.77,Sim,Arquivada (acordo),14.8,Sim
382,38,2024-11-13,Terceirizado,Verbas Rescisórias,76301.87,Sim,Improcedente,13.1,Não
383,99,2025-07-17,PJ,Assédio Sexual,49304.42,Sim,Arquivada (acordo),6.4,Não
384,17,2024-06-03,Terceirizado,Horas Extras,45262.28,Não,Improcedente,12.6,Sim
385,91,2024-04-08,CLT,Verbas Rescisórias,43670.44,Sim,Procedente,11.5,Sim
386,36,2024-08-13,CLT,Assédio Sexual,54157.09,Sim,Parcialmente procedente,4.2,Sim
387,84,2026-02-01,Terceirizado,Vínculo Empregatício,30426.91,Sim,Arquivada (acordo),8.4,Sim
388,48,2024-01-26,PJ,Assédio Moral,11780.98,Não,Procedente,11.6,Não
389,54,2024-07-20,PJ,Assédio Moral,51084.83,Sim,Procedente,3.7,Sim
390,15,2024-01-22,CLT,Equiparação Salarial,75131.97,Sim,Parcialmente procedente,2.0,Sim
391,42,2024-01-23,PJ,Assédio Sexual,24772.48,Sim,Procedente,7.6,Sim
392,15,2025-04-30,PJ,Equiparação Salarial,40883.8,Sim,Improcedente,11.0,Sim
393,68,2024-09-20,Terceirizado,Acidente de Trabalho,73064.28,Sim,Arquivada (acordo),8.0,Não
394,38,2026-03-23,PJ,Acidente de Trabalho,78925.7,Sim,Improcedente,0.8,Sim
395,2,2024-10-03,Terceirizado,FGTS,28205.56,Sim,Improcedente,6.9,Sim
396,73,2025-11-27,Terceirizado,Assédio Moral,58911.61,Não,Procedente,12.3,Sim
397,5,2024-02-12,CLT,Vínculo Empregatício,22335.27,Sim,Parcialmente procedente,10.4,Não
398,50,2025-04-17,CLT,Assédio Moral,75366.58,Não,Improcedente,11.1,Sim
399,96,2024-07-31,Estágio,Horas Extras,42751.37,Sim,Parcialmente procedente,10.4,Sim
400,78,2025-08-26,Terceirizado,Assédio Sexual,51442.48,Sim,Procedente,14.1,Sim
401,69,2025-09-11,Terceirizado,Acidente de Trabalho,30396.68,Sim,Procedente,14.5,Sim
402,46,2025-12-31,PJ,Horas Extras,49399.77,Sim,Parcialmente procedente,7.5,Sim
403,69,2025-02-07,PJ,Assédio Moral,19333.54,Não,Improcedente,11.1,Não
404,54,2025-09-27,CLT,FGTS,76546.09,Sim,Improcedente,14.8,Sim
405,24,2023-12-21,Estágio,Horas Extras,53015.37,Sim,Arquivada (acordo),10.5,Sim
406,33,2025-04-20,Estágio,Assédio Moral,9099.43,Não,Improcedente,7.4,Não
407,42,2024-04-03,PJ,Assédio Moral,49165.95,Sim,Improcedente,14.0,Sim
408,65,2023-12-26,Estágio,Vínculo Empregatício,32830.35,Sim,Improcedente,9.7,Não
409,69,2025-08-05,CLT,Acidente de Trabalho,17363.63,Sim,Arquivada (acordo),5.5,Sim
410,73,2023-07-21,CLT,Assédio Moral,75361.01,Sim,Improcedente,1.2,Sim
411,21,2026-05-25,PJ,Assédio Moral,49047.84,Sim,Procedente,2.7,Não
412,28,2024-07-07,Terceirizado,FGTS,32604.29,Sim,Parcialmente procedente,9.5,Não
413,3,2026-03-17,PJ,Verbas Rescisórias,37096.87,Não,Procedente,11.6,Sim
414,68,2026-04-08,Terceirizado,FGTS,65442.58,Não,Arquivada (acordo),0.6,Não
415,12,2024-11-28,PJ,Horas Extras,63266.31,Não,Parcialmente procedente,10.3,Não
416,8,2023-07-15,Terceirizado,Verbas Rescisórias,50166.45,Sim,Improcedente,11.3,Sim
417,5,2026-05-16,PJ,Equiparação Salarial,32445.45,Não,Improcedente,14.7,Sim
418,6,2023-11-27,PJ,Assédio Moral,29530.77,Não,Improcedente,7.5,Sim
419,41,2024-12-30,Estágio,Assédio Sexual,53826.35,Sim,Parcialmente procedente,14.1,Não
420,33,2024-04-11,Estágio,Horas Extras,11714.41,Sim,Improcedente,10.1,Sim
421,41,2023-11-24,Terceirizado,Assédio Sexual,11727.53,Sim,Procedente,10.9,Não
422,93,2026-03-11,Terceirizado,Assédio Sexual,44306.33,Sim,Procedente,9.5,Sim
423,82,2025-10-06,PJ,Verbas Rescisórias,65542.77,Sim,Parcialmente procedente,6.4,Sim
424,56,2024-03-15,Terceirizado,Equiparação Salarial,66983.39,Não,Parcialmente procedente,3.3,Não
425,64,2024-05-22,CLT,Assédio Moral,24415.52,Sim,Arquivada (acordo),6.3,Não
426,67,2025-02-09,CLT,Verbas Rescisórias,31529.95,Não,Procedente,7.4,Sim
427,1,2025-08-03,PJ,Verbas Rescisórias,57678.14,Sim,Improcedente,2.0,Sim
428,20,2023-10-09,CLT,Assédio Sexual,28707.26,Sim,Improcedente,13.9,Sim
429,90,2024-07-13,Terceirizado,Horas Extras,45596.73,Sim,Parcialmente procedente,4.4,Sim
430,9,2024-06-24,CLT,FGTS,67796.48,Sim,Parcialmente procedente,14.1,Não
431,31,2023-08-27,CLT,Equiparação Salarial,6027.33,Não,Improcedente,10.1,Sim
432,46,2025-11-02,Estágio,Assédio Moral,13839.04,Sim,Arquivada (acordo),1.8,Sim
433,4,2024-01-01,CLT,Assédio Moral,39454.21,Sim,Procedente,9.8,Não
434,93,2024-05-25,CLT,Verbas Rescisórias,73245.79,Não,Arquivada (acordo),3.9,Não
435,26,2023-12-11,CLT,Assédio Sexual,15205.91,Não,Procedente,7.8,Sim
436,59,2025-05-02,Terceirizado,Verbas Rescisórias,39148.5,Sim,Improcedente,14.8,Não
437,44,2024-12-29,CLT,Assédio Moral,38065.6,Não,Arquivada (acordo),6.7,Sim
438,4,2025-12-15,CLT,Verbas Rescisórias,20322.49,Não,Arquivada (acordo),8.3,Sim
439,81,2024-05-05,Terceirizado,Assédio Sexual,59973.07,Não,Parcialmente procedente,14.9,Sim
440,21,2025-08-22,Terceirizado,Horas Extras,11909.04,Não,Improcedente,12.3,Sim
441,65,2026-03-09,CLT,Assédio Moral,56813.07,Sim,Procedente,7.2,Não
442,57,2025-01-29,Terceirizado,Acidente de Trabalho,72004.69,Não,Improcedente,12.0,Sim
443,11,2023-12-01,CLT,Assédio Moral,49314.64,Sim,Improcedente,9.9,Não
444,41,2025-05-02,Estágio,Assédio Moral,40874.52,Sim,Improcedente,7.8,Não
445,37,2023-12-21,Terceirizado,Horas Extras,27040.69,Não,Procedente,6.0,Sim
446,21,2023-08-16,CLT,Horas Extras,45907.48,Não,Procedente,7.5,Sim
447,25,2026-05-19,PJ,Assédio Moral,78310.74,Não,Arquivada (acordo),8.5,Não
448,100,2025-01-13,Estágio,Assédio Moral,11781.2,Sim,Improcedente,7.2,Sim
449,28,2023-10-31,Estágio,Acidente de Trabalho,9487.87,Sim,Improcedente,10.3,Sim
450,89,2026-02-15,Estágio,Assédio Sexual,72144.04,Não,Parcialmente procedente,13.5,Sim
451,36,2026-01-16,Estágio,Assédio Moral,56806.22,Sim,Procedente,8.6,Não
452,24,2023-08-22,Estágio,Horas Extras,25096.18,Não,Improcedente,0.6,Não
453,97,2025-05-24,Terceirizado,Verbas Rescisórias,51286.66,Não,Parcialmente procedente,3.6,Não
454,22,2025-10-01,Terceirizado,Assédio Sexual,5380.95,Não,Parcialmente procedente,2.0,Não
455,50,2024-09-21,PJ,Assédio Sexual,18045.12,Não,Parcialmente procedente,10.0,Sim
456,32,2026-01-21,PJ,Vínculo Empregatício,14349.74,Não,Improcedente,1.7,Não
457,69,2025-08-30,Estágio,Acidente de Trabalho,74737.81,Sim,Procedente,2.6,Sim
458,86,2024-10-30,Estágio,Horas Extras,66351.92,Não,Arquivada (acordo),4.9,Não
459,13,2024-08-03,CLT,Acidente de Trabalho,32519.3,Não,Parcialmente procedente,11.6,Não
460,14,2024-07-19,PJ,FGTS,32340.22,Sim,Improcedente,10.3,Não
461,63,2025-12-07,PJ,Assédio Moral,20722.63,Não,Improcedente,4.9,Sim
462,95,2023-10-01,CLT,Assédio Moral,73112.39,Não,Improcedente,10.6,Não
463,66,2024-05-19,CLT,Horas Extras,13721.71,Não,Procedente,14.0,Não
464,86,2026-01-03,Terceirizado,Vínculo Empregatício,75760.27,Não,Procedente,0.9,Não
465,3,2024-10-28,Estágio,Acidente de Trabalho,64780.59,Não,Improcedente,4.5,Sim
466,11,2024-09-29,PJ,Equiparação Salarial,19263.07,Sim,Arquivada (acordo),4.0,Sim
467,77,2026-04-25,PJ,Acidente de Trabalho,59474.87,Sim,Procedente,9.0,Sim
468,36,2024-11-08,Terceirizado,Acidente de Trabalho,24007.55,Não,Parcialmente procedente,6.2,Sim
469,51,2025-04-12,CLT,Verbas Rescisórias,30050.38,Sim,Parcialmente procedente,13.4,Não
470,49,2023-09-30,Estágio,FGTS,41421.45,Sim,Arquivada (acordo),14.5,Não
471,38,2024-02-24,PJ,Vínculo Empregatício,44199.9,Sim,Improcedente,11.0,Não
472,92,2023-12-21,PJ,Assédio Moral,40261.82,Sim,Parcialmente procedente,11.2,Sim
473,29,2023-08-14,Estágio,Horas Extras,27656.35,Sim,Procedente,0.5,Sim
474,63,2023-08-22,PJ,Equiparação Salarial,47097.52,Sim,Improcedente,13.3,Não
475,22,2026-05-27,PJ,Assédio Moral,55448.92,Não,Parcialmente procedente,12.2,Não
476,56,2025-07-05,CLT,Horas Extras,9360.54,Não,Arquivada (acordo),0.6,Sim
477,41,2023-07-31,Terceirizado,Assédio Moral,15481.11,Sim,Parcialmente procedente,13.4,Não
478,87,2026-01-19,Terceirizado,Verbas Rescisórias,25691.77,Não,Improcedente,11.1,Sim
479,88,2023-07-14,PJ,FGTS,31918.99,Sim,Improcedente,9.8,Sim
480,1,2024-05-03,Terceirizado,Assédio Sexual,74990.63,Sim,Parcialmente procedente,7.5,Sim
481,72,2023-08-17,Terceirizado,Assédio Moral,8451.9,Sim,Procedente,1.3,Sim
482,62,2023-10-17,Terceirizado,Assédio Moral,39203.03,Sim,Parcialmente procedente,3.6,Sim
483,68,2023-09-29,Terceirizado,Verbas Rescisórias,24208.75,Sim,Arquivada (acordo),2.5,Não
484,18,2023-11-03,Terceirizado,Horas Extras,68088.34,Não,Parcialmente procedente,6.2,Sim
485,48,2023-12-27,PJ,Horas Extras,62733.85,Não,Procedente,13.1,Sim
486,86,2025-12-26,Terceirizado,Assédio Sexual,22292.91,Sim,Procedente,4.8,Sim
487,22,2025-03-26,PJ,Assédio Moral,64339.75,Sim,Procedente,10.7,Não
488,20,2025-08-16,CLT,Assédio Moral,51695.55,Sim,Procedente,12.0,Não
489,43,2025-12-01,CLT,Acidente de Trabalho,21031.22,Sim,Parcialmente procedente,4.4,Sim
490,57,2025-05-13,Terceirizado,Horas Extras,25010.02,Sim,Arquivada (acordo),13.5,Sim
491,63,2025-01-20,Terceirizado,Assédio Sexual,78708.7,Sim,Procedente,14.0,Não
492,87,2023-08-12,Terceirizado,Equiparação Salarial,57919.74,Sim,Arquivada (acordo),4.8,Sim
493,13,2026-04-16,Estágio,FGTS,10100.93,Não,Improcedente,4.1,Não
494,28,2026-02-08,Terceirizado,Assédio Moral,74345.49,Sim,Improcedente,14.7,Não
495,38,2023-09-01,Terceirizado,Acidente de Trabalho,18300.75,Não,Improcedente,8.7,Não
496,46,2025-04-22,CLT,Equiparação Salarial,51269.77,Sim,Improcedente,12.2,Sim
497,70,2025-02-14,CLT,Assédio Sexual,33182.21,Sim,Arquivada (acordo),14.2,Sim
498,94,2023-07-28,CLT,FGTS,58141.46,Não,Procedente,6.9,Não
499,10,2026-03-11,Terceirizado,Verbas Rescisórias,63780.32,Não,Arquivada (acordo),14.9,Sim
500,82,2025-12-21,PJ,FGTS,37352.04,Sim,Arquivada (acordo),2.1,Não
501,26,2024-10-04,Estágio,FGTS,10804.43,Sim,Procedente,9.9,Não
502,96,2023-11-05,PJ,Assédio Moral,70020.2,Sim,Procedente,4.7,Sim
503,13,2023-09-20,Estágio,Assédio Moral,33524.34,Sim,Parcialmente procedente,2.9,Sim
504,83,2025-01-06,CLT,Assédio Sexual,55971.28,Não,Procedente,14.0,Não
505,56,2023-09-17,Terceirizado,Horas Extras,19786.15,Sim,Parcialmente procedente,10.8,Sim
506,52,2026-04-20,PJ,Acidente de Trabalho,42587.09,Sim,Parcialmente procedente,12.2,Não
507,2,2025-08-29,CLT,Horas Extras,43532.15,Sim,Procedente,5.1,Não
508,41,2023-06-04,Terceirizado,Assédio Moral,44707.11,Não,Procedente,1.0,Não
509,85,2024-06-07,Terceirizado,Assédio Moral,68728.13,Sim,Parcialmente procedente,9.7,Sim
510,62,2025-01-04,PJ,Assédio Sexual,22868.15,Sim,Improcedente,14.9,Não
511,34,2023-10-16,Estágio,Assédio Sexual,19971.24,Não,Parcialmente procedente,11.2,Sim
512,3,2026-01-21,PJ,Acidente de Trabalho,11677.92,Sim,Procedente,5.8,Sim
513,90,2023-07-15,CLT,Assédio Moral,45805.33,Sim,Arquivada (acordo),5.1,Não
514,46,2024-04-12,Estágio,FGTS,13051.65,Sim,Arquivada (acordo),3.0,Sim
515,49,2023-09-15,Estágio,Horas Extras,52308.92,Sim,Procedente,7.9,Sim
516,44,2025-03-19,Terceirizado,Assédio Sexual,5433.13,Não,Improcedente,8.5,Não
517,55,2023-08-14,CLT,Assédio Moral,16565.92,Sim,Improcedente,3.5,Sim
518,99,2025-11-14,CLT,Verbas Rescisórias,43973.58,Sim,Arquivada (acordo),2.9,Não
519,88,2023-10-19,CLT,FGTS,55792.86,Sim,Improcedente,14.9,Não
520,72,2024-11-22,Terceirizado,Assédio Sexual,6195.0,Sim,Parcialmente procedente,13.2,Sim
521,78,2025-03-26,Terceirizado,Horas Extras,21320.57,Não,Procedente,7.9,Não
522,24,2025-10-16,CLT,Vínculo Empregatício,29997.72,Sim,Parcialmente procedente,5.7,Não
523,90,2023-08-09,CLT,Equiparação Salarial,51494.65,Sim,Arquivada (acordo),8.5,Sim
524,28,2025-04-05,CLT,Equiparação Salarial,57010.81,Sim,Improcedente,14.7,Não
525,4,2024-01-09,Terceirizado,Acidente de Trabalho,40564.9,Sim,Parcialmente procedente,7.6,Sim
526,64,2023-07-30,CLT,Assédio Moral,18920.64,Não,Parcialmente procedente,6.2,Sim
527,27,2023-09-30,PJ,Assédio Sexual,73090.76,Sim,Procedente,14.9,Não
528,26,2025-05-29,PJ,Equiparação Salarial,5233.06,Sim,Parcialmente procedente,6.5,Não
529,52,2023-10-27,PJ,Verbas Rescisórias,59947.1,Não,Improcedente,6.2,Sim
530,94,2025-12-27,Estágio,Verbas Rescisórias,18284.9,Sim,Arquivada (acordo),3.4,Sim
531,32,2024-09-07,Terceirizado,Horas Extras,58582.66,Não,Arquivada (acordo),3.5,Sim
532,77,2024-04-05,PJ,Verbas Rescisórias,36705.66,Sim,Procedente,9.2,Não
533,57,2025-10-21,CLT,Assédio Moral,58270.57,Sim,Procedente,12.7,Sim
534,72,2023-11-02,CLT,Vínculo Empregatício,6607.15,Não,Improcedente,10.7,Não
535,31,2025-08-23,CLT,Assédio Moral,71255.52,Não,Arquivada (acordo),7.2,Sim
536,94,2025-04-22,PJ,Assédio Moral,33660.92,Sim,Parcialmente procedente,9.6,Não
537,19,2025-10-03,CLT,Assédio Moral,61502.22,Sim,Procedente,10.8,Sim
538,8,2025-04-28,Terceirizado,Assédio Sexual,20965.44,Não,Improcedente,4.7,Não
539,3,2025-01-20,CLT,Acidente de Trabalho,18344.26,Não,Arquivada (acordo),8.2,Sim
540,69,2025-04-14,PJ,Assédio Moral,10596.04,Não,Arquivada (acordo),4.7,Não
541,40,2025-07-20,CLT,Assédio Sexual,6401.98,Não,Procedente,10.4,Sim
542,1,2025-08-23,PJ,Vínculo Empregatício,10817.5,Sim,Arquivada (acordo),13.4,Sim
543,40,2025-03-28,Terceirizado,Equiparação Salarial,52256.84,Sim,Parcialmente procedente,6.8,Não
544,59,2023-10-25,Terceirizado,Acidente de Trabalho,49755.65,Sim,Improcedente,2.5,Sim
545,73,2024-12-27,CLT,Acidente de Trabalho,70433.4,Não,Parcialmente procedente,5.4,Sim
546,84,2023-06-26,PJ,Equiparação Salarial,60301.39,Não,Parcialmente procedente,10.7,Sim
547,84,2025-03-10,CLT,Assédio Sexual,78693.35,Não,Arquivada (acordo),1.5,Sim
548,9,2025-12-15,Estágio,Horas Extras,72498.83,Não,Procedente,12.5,Não
549,56,2024-02-04,Estágio,Horas Extras,9870.21,Não,Improcedente,1.2,Não
550,38,2023-09-22,Estágio,Acidente de Trabalho,72767.76,Sim,Parcialmente procedente,1.0,Não
551,92,2023-08-08,CLT,Assédio Moral,57409.6,Sim,Arquivada (acordo),6.6,Não
552,47,2025-05-06,PJ,Verbas Rescisórias,79367.01,Sim,Parcialmente procedente,9.8,Não
553,43,2026-01-26,Terceirizado,Verbas Rescisórias,18242.69,Sim,Parcialmente procedente,7.4,Não
554,31,2025-06-19,Estágio,Equiparação Salarial,74817.65,Sim,Procedente,7.8,Não
555,23,2024-01-28,PJ,Horas Extras,15005.1,Sim,Arquivada (acordo),2.2,Sim
556,64,2023-08-26,CLT,Assédio Moral,60553.43,Sim,Parcialmente procedente,12.9,Não
557,98,2024-08-25,PJ,Verbas Rescisórias,19049.38,Sim,Parcialmente procedente,12.8,Sim
558,67,2023-12-26,Terceirizado,Vínculo Empregatício,17501.99,Não,Procedente,12.1,Sim
559,74,2025-03-30,PJ,Assédio Moral,28554.3,Sim,Arquivada (acordo),9.2,Sim
560,33,2024-08-12,PJ,Assédio Sexual,47294.34,Sim,Arquivada (acordo),1.1,Sim
561,59,2026-02-19,CLT,Equiparação Salarial,34600.5,Não,Improcedente,12.7,Sim
562,70,2025-06-04,Terceirizado,Assédio Moral,44663.4,Sim,Arquivada (acordo),6.8,Não
563,28,2024-07-22,CLT,Horas Extras,22101.1,Sim,Parcialmente procedente,5.5,Não
564,43,2024-02-04,Terceirizado,Vínculo Empregatício,47273.06,Sim,Parcialmente procedente,3.0,Não
565,96,2026-04-18,PJ,Assédio Sexual,33998.02,Não,Improcedente,2.0,Não
566,26,2025-06-20,CLT,Vínculo Empregatício,60015.16,Sim,Procedente,3.2,Sim
567,41,2024-10-09,CLT,Assédio Moral,39769.05,Não,Procedente,11.1,Não
568,7,2025-12-15,Terceirizado,Verbas Rescisórias,75856.02,Sim,Parcialmente procedente,13.8,Não
569,63,2025-10-24,Estágio,Verbas Rescisórias,42909.23,Não,Procedente,10.6,Não
570,75,2023-09-13,Terceirizado,Acidente de Trabalho,74993.6,Não,Improcedente,8.5,Sim
571,14,2023-10-19,CLT,Assédio Moral,67215.86,Sim,Parcialmente procedente,6.3,Sim
572,59,2024-03-21,Estágio,Acidente de Trabalho,25002.89,Sim,Arquivada (acordo),6.6,Não
